id,a,b,c,d,display,v1,v2,v3,z1,z2,z3
0,1450.233521,-416.216309,-1143.531494,24057.279297,1,1,2,3,380.150574,365.268860,396.589233
1,-1216.910156,-496.019287,-1362.785767,25545.402344,1,1,5,6,380.150574,406.431824,391.550079
2,0.010162,1778.970581,-647.490479,3493.806152,1,2,6,7,365.268860,391.550079,422.870453
3,1216.910156,496.019226,1362.785767,23154.429688,1,3,7,8,396.589233,422.870453,437.752197
4,-0.010208,-1778.970703,647.490479,-20329.974609,1,4,8,5,411.470947,437.752197,406.431824
5,-1450.233521,416.216248,1143.531494,24642.554688,1,8,7,6,437.752197,422.870453,391.550079
6,1450.233276,-416.215881,-1143.531494,24057.251953,1,9,10,11,340.465942,325.584198,356.904572
7,-1216.910034,-496.018738,-1362.785767,25545.373047,1,9,13,14,340.465942,366.747162,351.865417
8,0.010147,1778.970581,-647.490479,-19557.339844,1,10,14,15,325.584198,351.865417,383.185791
9,1216.909912,496.018707,1362.785767,23154.468750,1,11,15,16,356.904572,383.185791,398.067535
10,-0.010208,-1778.970703,647.490479,2721.182373,1,12,16,13,371.786316,398.067535,366.747162
11,-1450.233398,416.215820,1143.531494,24642.589844,1,16,15,14,398.067535,383.185791,351.865417
12,1450.233276,-416.215881,-1143.531494,24057.269531,1,17,18,19,256.944946,242.063202,273.383575
13,-1216.910034,-496.018738,-1362.785767,2494.276367,1,17,21,22,256.944946,283.226166,268.344421
14,0.010162,1778.970581,-647.490479,-19557.347656,1,18,22,23,242.063202,268.344421,299.664795
15,1216.909912,496.018707,1362.785767,-19330.433594,1,19,23,24,273.383575,299.664795,314.546539
16,-0.010193,-1778.970703,647.490479,2721.191406,1,20,24,21,288.265320,314.546539,283.226166
17,-1450.233398,416.215820,1143.531494,24642.574219,1,24,23,22,314.546539,299.664795,268.344421
18,1450.233521,-416.216309,-1143.531494,24057.296875,1,25,26,27,296.629578,281.747864,313.068237
19,-1216.910156,-496.019257,-1362.785767,2494.280762,1,25,29,30,296.629578,322.910828,308.029083
20,0.010162,1778.970581,-647.490479,3493.796631,1,26,30,31,281.747864,308.029083,339.349457
21,1216.910034,496.019226,1362.785767,-19330.449219,1,27,31,32,313.068237,339.349457,354.231201
22,-0.010208,-1778.970703,647.490479,-20329.964844,1,28,32,29,327.949951,354.231201,322.910828
23,-1450.233521,416.216248,1143.531494,24642.537109,1,32,31,30,354.231201,339.349457,308.029083
24,1450.233521,-416.216309,-1143.531494,1006.168945,1,33,34,35,310.067322,295.185547,326.505920
25,-1216.910156,-496.019287,-1362.785767,25545.435547,1,33,37,38,310.067322,336.348541,321.466797
26,0.010162,1778.970581,-647.490479,3493.784912,1,34,38,39,295.185547,321.466797,352.787170
27,1216.910156,496.019226,1362.785767,23154.396484,1,35,39,40,326.505920,352.787170,367.668915
28,-0.010208,-1778.970703,647.490479,-20329.953125,1,36,40,37,341.387695,367.668915,336.348541
29,-1450.233521,416.216248,1143.531494,-17842.335938,1,40,39,38,367.668915,352.787170,321.466797
30,1450.233276,-416.215881,-1143.531494,1006.167358,1,41,42,43,270.382629,255.500916,286.821289
31,-1216.910034,-496.018768,-1362.785767,25545.408203,1,41,45,46,270.382629,296.663879,281.782166
32,0.010162,1778.970581,-647.490479,-19557.361328,1,42,46,47,255.500916,281.782166,313.102539
33,1216.909912,496.018738,1362.785767,23154.435547,1,43,47,48,286.821289,313.102539,327.984253
34,-0.010193,-1778.970703,647.490479,2721.202637,1,44,48,45,301.703003,327.984253,296.663879
35,-1450.233398,416.215820,1143.531494,-17842.326172,1,48,47,46,327.984253,313.102539,281.782166
